X;Y;Trunk;Max H;Area;Trunk/max H;Crown D;tree diameter;Trunk Vol;C %;Tot C;mass 1;mass 2;mass 3;;;;;;;
;;m;m;m2;;m2;m;m3;;m3;ton/m3;ton/m3;ton/m3;;Tot C;;;771.483;;m3
533186.26;152790.3;20.08;25.8;263.5;0.778;18.32;0.8635;11.7520;5.876;;;;;;;;;;;
533112.59;152850.14;8.1;14.1;181.25;0.574;15.20;0.7098;3.2038;1.602;;;;;;;;;;;
533207.83;152893.45;5.93;8.6;76.5;0.690;9.87;0.4482;0.9353;0.468;;;;;;;;;;;
533373.96;152350.15;7.22;11.8;198.25;0.612;15.89;0.7441;3.1378;1.569;;;;;;;;;;;
533209.03;152639.31;9.67;14.9;231;0.649;17.15;0.8061;4.9326;2.466;;;;;;;;;;;
533170.77;152839.58;14.06;18.4;201.25;0.764;16.01;0.7500;6.2076;3.104;;;;;;;;;;;
532994.15;153071.37;6.6;11.9;115;0.555;12.10;0.5579;1.6127;0.806;;;;;;;;;;;
533276.28;152770.93;9.25;15.8;226.5;0.585;16.99;0.7979;4.6223;2.311;;;;;;;;;;;
532952.27;152972.55;5.82;10.1;97.5;0.576;11.14;0.5108;1.1920;0.596;;;;;;;;;;;
532685.33;151985.56;12.96;17;219.75;0.762;16.73;0.7853;6.2744;3.137;;;;;;;;;;;
533138.56;153004.1;8.82;14;125.25;0.630;12.63;0.5839;2.3602;1.180;;;;;;;;;;;
532990.95;152509.23;13.77;25.7;25.75;0.536;5.73;0.2446;0.6467;0.323;;;;;;;;;;;
533236.62;152751.96;19.44;23.4;200.5;0.831;15.98;0.7485;8.5493;4.275;;;;;;;;;;;
533045.89;153069.52;6;10.8;67.25;0.556;9.26;0.4180;0.8228;0.411;;;;;;;;;;;
532818.83;152493.05;9.17;22.1;50.25;0.415;8.00;0.3563;0.9139;0.457;;;;;;;;;;;
532852.06;152645.02;4.13;6.6;34;0.626;6.58;0.2865;0.2662;0.133;;;;;;;;;;;
533051.28;152703.61;7.24;7.9;31.5;0.916;6.33;0.2744;0.4280;0.214;;;;;;;;;;;
533498.63;152582.06;10.82;17.6;102.5;0.615;11.43;0.5247;2.3381;1.169;;;;;;;;;;;
532960.33;152911.7;6.86;13.6;134.75;0.504;13.10;0.6070;1.9839;0.992;;;;;;;;;;;
533154.07;152475.31;5.65;15.9;114.5;0.355;12.08;0.5566;1.3742;0.687;;;;;;;;;;;
