OBJECTID;pointid;grid_code;POINT_X;POINT_Y
303;1593335;8.699999809;533173.75;152666.75
304;1593336;7.599999905;533174.25;152666.75
305;1593337;8.100000381;533174.75;152666.75
306;1593338;7.5;533175.25;152666.75
307;1593339;7.199999809;533175.75;152666.75
308;1593340;5.199999809;533176.25;152666.75
309;1593341;7.800000191;533176.75;152666.75
310;1593342;10.60000038;533177.25;152666.75
311;1593343;8;533177.75;152666.75
312;1593344;10.10000038;533178.25;152666.75
313;1593345;10.30000019;533178.75;152666.75
314;1593346;7.199999809;533179.25;152666.75
315;1593347;8.699999809;533179.75;152666.75
316;1593348;4.099999905;533180.75;152666.75
317;1593349;9.600000381;533181.75;152666.75
318;1593350;5.699999809;533182.25;152666.75
319;1593351;3.900000095;533182.75;152666.75
320;1593352;10;533183.25;152666.75
321;1593353;8.600000381;533183.75;152666.75
322;1593354;10.30000019;533184.25;152666.75
323;1593355;10.89999962;533184.75;152666.75
324;1593356;11.19999981;533185.25;152666.75
325;1593357;9.300000191;533185.75;152666.75
326;1593358;6.699999809;533186.25;152666.75
327;1593359;8.5;533186.75;152666.75
328;1593360;8;533187.25;152666.75
329;1593361;10.39999962;533187.75;152666.75
330;1593362;10.5;533188.25;152666.75
331;1593363;4.199999809;533188.75;152666.75
332;1593364;4.800000191;533190.75;152666.75
333;1593365;4.699999809;533191.25;152666.75
334;1593366;4.5;533191.75;152666.75
335;1594544;4.300000191;533173.25;152666.25
336;1594545;8.100000381;533173.75;152666.25
337;1594546;7.900000095;533174.75;152666.25
338;1594547;7.400000095;533175.25;152666.25
339;1594548;6.800000191;533175.75;152666.25
340;1594549;9.399999619;533176.25;152666.25
341;1594550;10.19999981;533177.25;152666.25
342;1594551;9.5;533177.75;152666.25
343;1594552;3.099999905;533178.25;152666.25
344;1594553;7.099999905;533178.75;152666.25
345;1594554;9.5;533179.25;152666.25
346;1594555;8.399999619;533179.75;152666.25
347;1594556;9;533180.25;152666.25
348;1594557;4.900000095;533181.75;152666.25
349;1594558;10.30000019;533182.25;152666.25
350;1594559;9.199999809;533182.75;152666.25
351;1594560;8.199999809;533183.75;152666.25
352;1594561;10.80000019;533184.25;152666.25
353;1594562;11.60000038;533184.75;152666.25
354;1594563;9.600000381;533185.25;152666.25
355;1594564;8.399999619;533185.75;152666.25
356;1594565;10.80000019;533186.25;152666.25
357;1594566;8.199999809;533186.75;152666.25
358;1594567;10.5;533187.25;152666.25
359;1594568;7.300000191;533187.75;152666.25
360;1594569;10;533188.25;152666.25
361;1594570;9.399999619;533188.75;152666.25
362;1594571;6.900000095;533189.25;152666.25
363;1594572;7.099999905;533189.75;152666.25
364;1594573;4.599999905;533190.25;152666.25
365;1594574;5;533190.75;152666.25
366;1594575;4.5;533191.25;152666.25
367;1594576;3.200000048;533191.75;152666.25
368;1594577;3.700000048;533192.25;152666.25
369;1595774;6.199999809;533172.25;152665.75
370;1595775;6.300000191;533172.75;152665.75
371;1595776;7.099999905;533173.25;152665.75
372;1595777;6.699999809;533173.75;152665.75
373;1595778;6.599999905;533174.25;152665.75
374;1595779;7.300000191;533174.75;152665.75
375;1595780;7.900000095;533175.25;152665.75
376;1595781;8.899999619;533175.75;152665.75
377;1595782;8;533176.25;152665.75
378;1595783;10;533177.25;152665.75
379;1595784;10.10000038;533177.75;152665.75
380;1595785;8.300000191;533178.75;152665.75
382;1595787;8.699999809;533180.75;152665.75
383;1595788;8.699999809;533181.25;152665.75
384;1595789;7.099999905;533181.75;152665.75
385;1595790;3.700000048;533182.25;152665.75
386;1595791;9.899999619;533182.75;152665.75
387;1595792;8.5;533183.25;152665.75
388;1595793;6.199999809;533183.75;152665.75
389;1595794;9.300000191;533184.25;152665.75
390;1595795;9.800000191;533184.75;152665.75
391;1595796;7.699999809;533185.25;152665.75
392;1595797;9.800000191;533185.75;152665.75
393;1595798;11.89999962;533186.25;152665.75
394;1595799;10.89999962;533186.75;152665.75
395;1595800;11.39999962;533187.25;152665.75
396;1595801;10.39999962;533187.75;152665.75
397;1595802;9.5;533188.25;152665.75
398;1595803;9.399999619;533188.75;152665.75
399;1595804;8.600000381;533189.25;152665.75
400;1595805;8.399999619;533189.75;152665.75
401;1595806;4.300000191;533190.75;152665.75
402;1595807;4.300000191;533191.25;152665.75
403;1595808;3.900000095;533191.75;152665.75
404;1595809;3.299999952;533192.25;152665.75
405;1595810;5.5;533192.75;152665.75
406;1595811;6.300000191;533193.75;152665.75
407;1597015;3.799999952;533172.25;152665.25
408;1597016;5;533172.75;152665.25
409;1597017;7.599999905;533173.25;152665.25
410;1597018;7.199999809;533173.75;152665.25
411;1597019;6.199999809;533174.25;152665.25
412;1597020;6.400000095;533174.75;152665.25
413;1597021;7.099999905;533175.25;152665.25
414;1597022;8;533175.75;152665.25
415;1597023;8.399999619;533176.25;152665.25
416;1597024;8;533176.75;152665.25
417;1597025;8.399999619;533177.75;152665.25
418;1597026;7.900000095;533179.25;152665.25
419;1597027;7.800000191;533180.75;152665.25
420;1597028;9.899999619;533181.75;152665.25
421;1597029;9.899999619;533182.25;152665.25
422;1597030;6.300000191;533182.75;152665.25
423;1597031;11.10000038;533183.25;152665.25
424;1597032;10;533183.75;152665.25
425;1597033;10.30000019;533184.25;152665.25
426;1597034;3.200000048;533184.75;152665.25
427;1597035;7.199999809;533185.25;152665.25
428;1597036;9.399999619;533185.75;152665.25
429;1597037;11.10000038;533186.25;152665.25
430;1597038;11.39999962;533186.75;152665.25
431;1597039;5.900000095;533187.25;152665.25
432;1597040;9.100000381;533187.75;152665.25
433;1597041;9.699999809;533188.25;152665.25
434;1597042;7.900000095;533188.75;152665.25
435;1597043;7.400000095;533189.25;152665.25
436;1597044;7.800000191;533189.75;152665.25
437;1597045;7.199999809;533190.25;152665.25
438;1597046;5.699999809;533190.75;152665.25
439;1597047;4;533191.25;152665.25
440;1597048;5.900000095;533191.75;152665.25
441;1597049;5.099999905;533192.25;152665.25
442;1597050;4.5;533192.75;152665.25
443;1597051;4.099999905;533193.25;152665.25
444;1597052;6.300000191;533193.75;152665.25
445;1597053;6.099999905;533194.25;152665.25
446;1598297;4;533172.25;152664.75
447;1598298;4.5;533172.75;152664.75
448;1598299;4.900000095;533173.25;152664.75
449;1598300;7.699999809;533173.75;152664.75
450;1598301;8;533174.25;152664.75
451;1598302;7.699999809;533174.75;152664.75
452;1598303;7.900000095;533175.25;152664.75
453;1598304;8.300000191;533175.75;152664.75
454;1598305;7.699999809;533176.75;152664.75
455;1598306;4.800000191;533177.25;152664.75
456;1598307;5.5;533178.25;152664.75
457;1598308;8.699999809;533178.75;152664.75
458;1598309;8.899999619;533179.25;152664.75
459;1598310;9.100000381;533179.75;152664.75
460;1598311;9.300000191;533180.75;152664.75
461;1598312;10;533181.25;152664.75
462;1598313;7.5;533181.75;152664.75
463;1598314;9.800000191;533182.75;152664.75
464;1598315;6.5;533183.25;152664.75
465;1598316;5.099999905;533183.75;152664.75
466;1598317;10.69999981;533184.25;152664.75
467;1598318;9.899999619;533185.25;152664.75
468;1598319;10.60000038;533185.75;152664.75
469;1598320;10.60000038;533186.25;152664.75
470;1598321;11;533186.75;152664.75
471;1598322;9.899999619;533187.25;152664.75
472;1598323;6.5;533187.75;152664.75
473;1598324;9.800000191;533188.25;152664.75
474;1598325;8.600000381;533188.75;152664.75
475;1598326;7.5;533189.25;152664.75
476;1598327;6.900000095;533189.75;152664.75
477;1598328;7.099999905;533190.25;152664.75
478;1598329;4.800000191;533190.75;152664.75
479;1598330;6;533191.25;152664.75
480;1598331;5.099999905;533191.75;152664.75
481;1598332;4.699999809;533192.25;152664.75
482;1598333;5.699999809;533192.75;152664.75
483;1598334;5.099999905;533193.25;152664.75
484;1598335;5.199999809;533193.75;152664.75
485;1598336;5.300000191;533194.25;152664.75
486;1599581;4;533171.75;152664.25
487;1599582;3.700000048;533172.25;152664.25
488;1599583;4;533172.75;152664.25
489;1599584;3.5;533173.25;152664.25
490;1599585;3.5;533173.75;152664.25
491;1599586;8;533174.75;152664.25
492;1599587;7.199999809;533175.25;152664.25
493;1599588;8;533175.75;152664.25
494;1599589;8.600000381;533176.75;152664.25
495;1599590;8;533177.75;152664.25
496;1599591;4.900000095;533178.25;152664.25
497;1599592;8.100000381;533178.75;152664.25
498;1599593;9.199999809;533179.25;152664.25
499;1599594;7.199999809;533179.75;152664.25
500;1599595;10.30000019;533180.25;152664.25
501;1599596;6.900000095;533180.75;152664.25
502;1599597;9;533181.25;152664.25
503;1599598;8.600000381;533182.25;152664.25
504;1599599;8.199999809;533182.75;152664.25
505;1599600;8.5;533183.25;152664.25
506;1599601;10.39999962;533183.75;152664.25
507;1599602;10.69999981;533184.25;152664.25
508;1599603;9.199999809;533184.75;152664.25
509;1599604;9.300000191;533185.25;152664.25
510;1599605;10.10000038;533185.75;152664.25
511;1599606;5.699999809;533186.25;152664.25
512;1599607;7.900000095;533186.75;152664.25
513;1599608;8.600000381;533187.25;152664.25
514;1599609;10.10000038;533187.75;152664.25
515;1599610;8.800000191;533188.25;152664.25
516;1599611;8.300000191;533188.75;152664.25
517;1599612;8.300000191;533189.25;152664.25
518;1599613;9.199999809;533189.75;152664.25
519;1599614;4.900000095;533190.25;152664.25
520;1599615;5.199999809;533190.75;152664.25
521;1599616;4.199999809;533191.25;152664.25
522;1599617;4.900000095;533191.75;152664.25
523;1599618;5.099999905;533192.25;152664.25
524;1599619;5.400000095;533192.75;152664.25
525;1599620;5.199999809;533193.25;152664.25
526;1599621;5;533193.75;152664.25
527;1599622;5.300000191;533194.25;152664.25
528;1600859;5.300000191;533171.75;152663.75
529;1600860;4.800000191;533172.25;152663.75
530;1600861;4;533172.75;152663.75
531;1600862;3.799999952;533173.25;152663.75
532;1600863;3.400000095;533174.25;152663.75
533;1600864;7.199999809;533175.25;152663.75
534;1600865;7;533175.75;152663.75
535;1600866;8.699999809;533176.25;152663.75
536;1600867;7.699999809;533176.75;152663.75
537;1600868;9.100000381;533177.25;152663.75
538;1600869;5.599999905;533177.75;152663.75
539;1600870;9.899999619;533178.25;152663.75
540;1600871;9.600000381;533178.75;152663.75
541;1600872;6.300000191;533179.25;152663.75
542;1600873;7.099999905;533179.75;152663.75
543;1600874;10.60000038;533180.75;152663.75
