533107.42 152927.19 10.64 17.10 148.25
532760.96 152326.83 11.36 21.00 63.00
533076.83 153184.95 12.26 19.20 181.50
533147.68 152828.66 15.14 21.30 181.25
533273.66 152708.11 19.26 22.90 199.00
533107.55 152207.69 4.20 6.80 18.00
533136.86 152817.16 10.91 17.60 233.25
533473.13 152476.78 6.16 12.10 126.00
533009.05 152342.19 5.73 11.60 90.50
533371.15 152439.41 6.67 16.30 45.50
532791.61 152235.09 5.06 7.80 65.25
533370.69 152686.82 16.65 24.10 157.75
533232.01 152574.63 5.77 9.20 86.75
533397.39 152532.53 4.51 12.20 102.75
532816.09 152600.21 5.00 10.80 47.00
532861.75 152674.98 5.20 11.60 136.00
533105.03 152776.96 7.38 11.60 162.00
532904.80 152381.42 8.84 14.90 198.25
532844.00 152435.88 14.42 21.90 24.75
533057.36 153213.40 9.53 15.00 293.50
532936.53 152164.79 5.75 15.70 91.75
532803.79 152291.87 13.26 20.10 38.50
533393.88 152301.71 6.60 10.60 57.50
532683.87 152023.37 11.22 18.00 148.50
533149.07 152774.10 10.56 16.90 224.50
533338.35 152477.51 5.73 15.30 43.00
533245.86 152763.00 18.23 22.70 194.25
532893.20 152585.94 6.87 16.50 23.00
532887.35 152647.77 4.63 7.40 31.75
533079.00 153133.77 14.91 22.20 178.00
533351.54 152388.22 6.15 10.30 39.00
532894.06 152520.07 7.46 17.20 51.50
532956.16 152420.86 8.98 18.10 134.50
533498.06 152568.84 9.88 15.20 96.75
533049.08 153093.18 6.55 12.80 127.00
533311.96 152691.95 19.46 23.90 186.25
533470.02 152315.88 6.00 11.30 174.75
533168.66 152779.49 17.01 23.50 199.25
533020.08 152524.74 9.39 16.40 24.00
533129.06 152952.53 12.86 20.10 237.50
533205.27 152914.63 5.60 8.20 68.50
533238.16 152373.75 8.92 16.40 151.75
533104.47 152837.18 6.18 11.30 102.25
533469.45 152607.07 7.56 12.00 168.50
533152.21 152399.43 4.81 16.10 82.75
533348.26 152679.31 6.08 9.20 116.50
532621.20 152029.11 13.06 17.30 192.75
533041.62 152668.03 4.40 11.70 26.00
533498.00 152555.12 9.58 14.00 103.75
533280.03 152724.27 16.74 22.10 205.50
532697.67 151996.99 11.92 16.40 197.25
533188.00 152762.62 8.73 18.80 160.50
533204.44 152652.94 10.52 17.40 228.50
532989.32 152554.50 19.15 26.30 26.75
533330.94 152706.91 17.93 23.30 159.50
533431.91 152698.73 8.88 14.00 116.00
532737.33 152473.02 5.51 21.20 141.25
533459.49 152716.94 14.34 18.50 195.50
532612.15 151987.49 14.04 18.20 218.50
533255.16 152733.11 19.45 23.40 180.00
532679.53 152280.01 7.41 11.60 137.25
533119.58 152549.63 9.92 19.70 133.50
532763.95 152542.91 4.65 7.00 97.00
533338.24 152530.80 5.89 15.60 56.00
533474.07 152549.68 5.99 12.10 107.50
532829.45 152217.17 5.54 7.10 25.50
533344.38 152339.39 17.61 23.60 170.25
532884.37 152679.70 5.52 8.60 96.00
533151.63 152660.30 5.60 8.80 29.25
532954.58 152555.33 3.94 7.80 41.25
533127.94 153019.92 6.85 12.70 127.25
533119.54 152586.71 5.74 12.60 90.25
533401.69 152346.26 8.27 13.40 166.00
532897.49 152331.28 9.07 17.20 37.25
533170.85 152925.46 8.63 16.90 174.50
533370.18 152572.37 6.15 19.10 58.00
533392.56 152687.02 15.17 21.80 114.00
533337.81 152441.16 8.23 16.40 31.75
533259.74 152770.12 14.45 21.00 249.25
533052.19 153059.28 7.02 12.20 95.75
532994.45 152379.96 9.04 16.60 138.50
533070.82 153061.10 8.10 13.40 187.75
533173.24 152822.14 16.81 22.00 193.75
533160.79 152895.65 14.30 21.60 214.75
533417.86 152372.84 6.77 11.40 183.25
532791.48 152440.62 13.39 21.90 22.00
532803.20 152574.95 6.61 13.60 64.00
533141.17 152983.69 5.11 9.00 101.25
533296.02 152386.62 5.40 8.00 112.75
532638.83 152139.55 5.11 15.50 74.75
532794.21 152087.90 4.61 18.20 14.25
532756.80 152283.12 11.71 21.00 63.00
533156.13 152445.91 6.50 16.10 85.25
533151.81 152868.94 17.45 22.40 196.00
532719.05 152126.12 6.67 18.00 29.75
533087.56 152890.35 10.43 16.60 156.00
532960.26 152633.72 8.30 26.70 19.25
533268.81 152663.78 5.16 8.70 170.50
533373.63 152222.83 3.94 10.40 16.50
533338.82 152695.76 19.31 22.90 170.25
